Ticker
A
AAL.L
AAPL
ABBV
ABNB
ABT
ACGL
ACN
ADBE
ADI
ADM
ADP
ADSK
AEE
AEP
AES
AFL
AIG
AIZ
AJG
AKAM
ALB
ALGN
ALL
ALLE
AMAT
AMCR
AMD
AME
AMGN
AMP
AMT
AMZN
ANET
ANSS
AON
AOS
APA
APD
APH
APO
APTV
ARE
ATO
AVB
AVGO
AVY
AWK
AXON
AXP
AZN.L
AZO
BA
BA.L
BAC
BALL
BARC.L
BAX
BBY
BDX
BEN
BF.B
BG
BIIB
BK
BKNG
BKR
BLDR
BLK
BMY
BP.L
BR
BRK.B
BRK/A
BRK/B
BRO
BSX
BX
BXP
C
CAG
CAH
CARR
CAT
CB
CBOE
CBRE
CCI
CCL
CDNS
CDW
CEG
CF
CFG
CHD
CHRW
CHTR
CI
CINF
CL
CLX
CMCSA
CME
CMG
CMI
CMS
CNC
CNP
COF
COO
COP
COR
COST
CPAY
CPB
CPRT
CPT
CRL
CRM
CRWD
CSCO
CSGP
CSX
CTAS
CTRA
CTSH
CTVA
CVS
CVX
CZR
D
DAL
DASH
DAY
DD
DE
DECK
DELL
DFS
DG
DGE.L
DGX
DHI
DHR
DIS
DLR
DLTR
DOC
DOV
DOW
DPZ
DRI
DTE
DUK
DVA
DVN
DXCM
EA
EBAY
ECL
ED
EFX
EG
EIX
EL
ELV
EMN
EMR
ENPH
EOG
EPAM
EQIX
EQR
EQT
ERIE
ES
ESS
ETN
ETR
EVRG
EW
EXC
EXE
EXPD
EXPE
EXR
F
FANG
FAST
FCX
FDS
FDX
FE
FFIV
FI
FICO
FIS
FITB
FOX
FOXA
FRT
FSLR
FTNT
FTV
GD
GDDY
GE
GEHC
GEN
GEV
GILD
GIS
GL
GLEN.L
GLW
GM
GNRC
GOOG
GOOGL
GPC
GPN
GRMN
GS
GSK.L
GWW
HAL
HAS
HBAN
HCA
HD
HES
HIG
HII
HLT
HOLX
HON
HPE
HPQ
HRL
HSBA.L
HSIC
HST
HSY
HUBB
HUM
HWM
IAG.L
IBM
ICE
IDXX
IEX
IFF
INCY
INTC
INTU
INVH
IP
IPG
IQV
IR
IRM
ISRG
IT
ITW
IVZ
J
JBHT
JBL
JCI
JKHY
JNJ
JNPR
JPM
K
KDP
KEY
KEYS
KHC
KIM
KKR
KLAC
KMB
KMI
KMX
KO
KR
KVUE
L
LDOS
LEN
LH
LHX
LII
LIN
LKQ
LLOY.L
LLY
LMT
LNT
LOW
LRCX
LSEG.L
LULU
LUV
LVS
LW
LYB
LYV
MA
MAA
MAR
MAS
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
META
MGM
MHK
MKC
MKTX
MLM
MMC
MMM
MNST
MO
MOH
MOS
MPC
MPWR
MRK
MRNA
MS
MSCI
MSFT
MSI
MTB
MTCH
MTD
MU
NCLH
NDAQ
NDSN
NEE
NEM
NFLX
NG.L
NI
NKE
NOC
NOW
NRG
NSC
NTAP
NTRS
NUE
NVDA
NVR
NWG.L
NWS
NWSA
NXPI
O
ODFL
OKE
OMC
ON
ORCL
ORLY
OTIS
OXY
PANW
PARA
PAYC
PAYX
PCAR
PCG
PEG
PEP
PFE
PFG
PG
PGR
PH
PHM
PKG
PLD
PLTR
PM
PNC
PNR
PNW
PODD
POOL
PPG
PPL
PRU
PRU.L
PSA
PSX
PTC
PWR
PYPL
QCOM
RCL
REG
REGN
REL.L
RF
RIO.L
RJF
RL
RMD
ROK
ROL
ROP
ROST
RR.L
RSG
RTX
RVTY
SBAC
SBUX
SCHW
SHEL.L
SHW
SJM
SLB
SMCI
SNA
SNPS
SO
SOLV
SPG
SPGI
SRE
SSE.L
STAN.L
STE
STLD
STT
STX
STZ
SW
SWK
SWKS
SYF
SYK
SYY
T
TAP
TDG
TDY
TECH
TEL
TER
TFC
TGT
TJX
TKO
TMO
TMUS
TPL
TPR
TRGP
TRMB
TROW
TRV
TSCO
TSCO.L
TSLA
TSM
TSN
TT
TTWO
TXN
TXT
TYL
UAL
UBER
UDR
UHS
ULTA
ULVR.L
UNH
UNP
UPS
URI
USB
V
VICI
VLO
VLTO
VMC
VOD.L
VRSK
VRSN
VRTX
VST
VTR
VTRS
VZ
WAB
WAT
WBA
WBD
WDAY
WDC
WEC
WELL
WFC
WM
WMB
WMT
WRB
WSM
WST
WTW
WY
WYNN
XEL
XOM
XYL
YUM
ZBH
ZBRA
ZTS
